Date,Date_Number,Time,Time_Fraction,HT R Phase Current
26-12-2018,43460.00,06:05:00,0.253472222,0.1
26-12-2018,43460.00,06:10:00,0.256944444,0.1
26-12-2018,43460.00,06:15:00,0.260416667,0.1
26-12-2018,43460.00,06:20:00,0.263888889,0.1
26-12-2018,43460.00,06:25:00,0.267361111,0.1
26-12-2018,43460.00,06:30:00,0.270833333,0.1
26-12-2018,43460.00,06:35:00,0.274305556,0.17
26-12-2018,43460.00,06:40:00,0.277777778,0.52
26-12-2018,43460.00,06:45:00,0.28125,0.7
26-12-2018,43460.00,06:50:00,0.284722222,0.81
26-12-2018,43460.00,06:55:00,0.288194444,0.92
26-12-2018,43460.00,07:00:00,0.291666667,0.92
26-12-2018,43460.00,07:05:00,0.295138889,1.19
26-12-2018,43460.00,07:10:00,0.298611111,1.34
26-12-2018,43460.00,07:15:00,0.302083333,1.84
26-12-2018,43460.00,07:20:00,0.305555556,2.5
26-12-2018,43460.00,07:25:00,0.309027778,3.9
27-12-2018,43461.00,04:30:00,0.1875,0.09
27-12-2018,43461.00,04:35:00,0.190972222,0.09
27-12-2018,43461.00,04:40:00,0.194444444,0.09
27-12-2018,43461.00,04:45:00,0.197916667,0.09
27-12-2018,43461.00,04:50:00,0.201388889,0.09
27-12-2018,43461.00,04:55:00,0.204861111,0.09
27-12-2018,43461.00,05:00:00,0.208333333,0.09
27-12-2018,43461.00,05:05:00,0.211805556,0.09
27-12-2018,43461.00,05:10:00,0.215277778,0.09
27-12-2018,43461.00,05:15:00,0.21875,0.09
27-12-2018,43461.00,05:20:00,0.222222222,0.09
27-12-2018,43461.00,05:25:00,0.225694444,0.09
27-12-2018,43461.00,05:30:00,0.229166667,0.09
27-12-2018,43461.00,05:35:00,0.232638889,0.09
27-12-2018,43461.00,05:40:00,0.236111111,0.09
27-12-2018,43461.00,05:45:00,0.239583333,0.09
27-12-2018,43461.00,05:50:00,0.243055556,0.09
27-12-2018,43461.00,05:55:00,0.246527778,0.09
27-12-2018,43461.00,06:00:00,0.25,0.09
27-12-2018,43461.00,06:05:00,0.253472222,0.09
27-12-2018,43461.00,06:10:00,0.256944444,0.09
27-12-2018,43461.00,06:15:00,0.260416667,0.09
27-12-2018,43461.00,06:20:00,0.263888889,0.09
27-12-2018,43461.00,06:25:00,0.267361111,0.09
27-12-2018,43461.00,06:30:00,0.270833333,0.09
27-12-2018,43461.00,06:35:00,0.274305556,0.09
27-12-2018,43461.00,06:40:00,0.277777778,0.51
27-12-2018,43461.00,06:45:00,0.28125,0.65
27-12-2018,43461.00,06:50:00,0.284722222,0.69
27-12-2018,43461.00,06:55:00,0.288194444,0.93
27-12-2018,43461.00,07:00:00,0.291666667,1.14
27-12-2018,43461.00,07:05:00,0.295138889,1.4
27-12-2018,43461.00,07:10:00,0.298611111,2.05
27-12-2018,43461.00,07:15:00,0.302083333,3.01
27-12-2018,43461.00,07:20:00,0.305555556,3.55
27-12-2018,43461.00,07:25:00,0.309027778,4.2
28-12-2018,43462.00,04:30:00,0.1875,0
28-12-2018,43462.00,04:35:00,0.190972222,0
28-12-2018,43462.00,04:40:00,0.194444444,0
28-12-2018,43462.00,04:45:00,0.197916667,0
28-12-2018,43462.00,04:50:00,0.201388889,0
28-12-2018,43462.00,04:55:00,0.204861111,0
28-12-2018,43462.00,05:00:00,0.208333333,0
28-12-2018,43462.00,05:05:00,0.211805556,0
28-12-2018,43462.00,05:10:00,0.215277778,0.09
28-12-2018,43462.00,05:15:00,0.21875,0.09
28-12-2018,43462.00,05:20:00,0.222222222,0.09
28-12-2018,43462.00,05:25:00,0.225694444,0
28-12-2018,43462.00,05:30:00,0.229166667,0
28-12-2018,43462.00,05:35:00,0.232638889,0
28-12-2018,43462.00,05:40:00,0.236111111,0.08
28-12-2018,43462.00,05:45:00,0.239583333,0
28-12-2018,43462.00,05:50:00,0.243055556,0
28-12-2018,43462.00,05:55:00,0.246527778,0
28-12-2018,43462.00,06:00:00,0.25,0.08
28-12-2018,43462.00,06:05:00,0.253472222,0
28-12-2018,43462.00,06:10:00,0.256944444,0
28-12-2018,43462.00,06:15:00,0.260416667,0
28-12-2018,43462.00,06:20:00,0.263888889,0.08
28-12-2018,43462.00,06:25:00,0.267361111,0
28-12-2018,43462.00,06:30:00,0.270833333,0
28-12-2018,43462.00,06:35:00,0.274305556,0
